state,sale_start,sale_end,revenue
Arkansas,2014-12-24,2014-12-24,1311.0
Florida,2014-10-15,2014-10-17,698.0
Iowa,2014-09-07,2014-09-07,1193.0
Indiana,2014-05-19,2014-05-22,469.0
Maine,2014-04-19,2014-04-19,334.0
Arkansas,2014-12-07,2014-12-09,1200.0
Idaho,2014-11-15,2014-11-18,1258.0
Alaska,2014-04-19,2014-04-22,716.0
Missouri,2014-06-27,2014-06-29,1300.0
Maine,2014-04-08,2014-04-09,260.0
California,2014-09-13,2014-09-14,622.0
Nebraska,2014-05-22,2014-05-23,787.0
Delaware,2014-08-25,2014-08-25,936.0
Kansas,2014-06-17,2014-06-19,1250.0
Missouri,2014-12-08,2014-12-09,1109.0
Oklahoma,2014-08-07,2014-08-10,594.0
Nebraska,2014-10-17,2014-10-18,679.0
Alaska,2014-05-21,2014-05-24,649.0
Delaware,2014-11-27,2014-11-28,964.0
Nebraska,2014-08-28,2014-08-31,702.0
Kansas,2014-10-05,2014-10-07,1053.0
Nevada,2014-05-19,2014-05-21,414.0
Indiana,2014-05-05,2014-05-07,529.0
Missouri,2014-03-07,2014-03-10,1302.0
Montana,2014-10-12,2014-10-12,817.0
Indiana,2014-08-08,2014-08-11,560.0
Arkansas,2014-09-04,2014-09-07,1158.0
Indiana,2014-03-25,2014-03-28,435.0
Oklahoma,2014-05-23,2014-05-23,512.0
Florida,2014-07-23,2014-07-26,912.0
Montana,2014-11-12,2014-11-15,761.0
Montana,2014-08-06,2014-08-07,978.0
Indiana,2014-02-26,2014-02-28,651.0
Ohio,2014-02-04,2014-02-07,819.0
Montana,2014-03-30,2014-03-30,827.0
Georgia,2014-07-19,2014-07-22,1366.0
New Mexico,2014-10-13,2014-10-15,1021.0
Iowa,2014-02-28,2014-03-03,1133.0
Louisiana,2014-05-24,2014-05-26,1437.0
Ohio,2014-02-01,2014-02-02,617.0
Nebraska,2014-01-17,2014-01-20,821.0
Mississippi,2014-02-14,2014-02-14,633.0
Kansas,2014-07-29,2014-07-29,1336.0
Florida,2014-05-27,2014-05-29,931.0
Delaware,2014-10-24,2014-10-27,927.0
Idaho,2014-11-28,2014-11-29,1250.0
Ohio,2014-12-07,2014-12-08,606.0
Maine,2014-02-08,2014-02-08,346.0
Oklahoma,2014-01-24,2014-01-26,617.0
Illinois,2014-04-27,2014-04-28,1260.0
Florida,2014-04-07,2014-04-10,816.0
Oregon,2014-10-09,2014-10-10,758.0
Washington,2014-03-23,2014-03-23,899.0
Oregon,2014-05-30,2014-05-30,999.0
Texas,2014-07-21,2014-07-23,1276.0
Oklahoma,2014-06-27,2014-06-29,504.0
Texas,2014-11-26,2014-11-26,1143.0
California,2014-07-29,2014-07-29,716.0
Oregon,2014-01-13,2014-01-13,753.0
Kansas,2014-12-24,2014-12-24,1145.0
Montana,2014-08-23,2014-08-24,928.0
Oregon,2014-11-01,2014-11-01,725.0
Georgia,2014-07-09,2014-07-09,1146.0
Kansas,2014-10-29,2014-10-29,982.0
Mississippi,2014-10-31,2014-11-03,679.0
Mississippi,2014-02-13,2014-02-13,671.0
Louisiana,2014-11-06,2014-11-07,1354.0
Illinois,2014-04-21,2014-04-24,1479.0
Indiana,2014-04-06,2014-04-08,699.0
Arkansas,2014-11-09,2014-11-10,1092.0
Florida,2014-06-28,2014-06-30,931.0
Mississippi,2014-04-05,2014-04-08,557.0
Washington,2014-11-18,2014-11-18,912.0
Montana,2014-12-16,2014-12-18,782.0
Maine,2014-01-13,2014-01-16,426.0
Maine,2014-05-30,2014-06-01,347.0
Arkansas,2014-12-16,2014-12-17,1037.0
Texas,2014-12-19,2014-12-19,1142.0
Washington,2014-10-17,2014-10-17,932.0
Nebraska,2014-04-23,2014-04-25,825.0
Oklahoma,2014-05-30,2014-05-30,561.0
New Mexico,2014-07-12,2014-07-12,1278.0
Montana,2014-12-17,2014-12-20,917.0
Maine,2014-04-12,2014-04-15,599.0
Alaska,2014-02-28,2014-03-01,622.0
Ohio,2014-03-31,2014-04-03,621.0
California,2014-02-21,2014-02-23,636.0
Idaho,2014-05-09,2014-05-12,1452.0
Indiana,2014-01-04,2014-01-06,602.0
Oklahoma,2014-04-11,2014-04-12,641.0
Florida,2014-05-25,2014-05-25,982.0
Oregon,2014-02-19,2014-02-22,768.0
Iowa,2014-09-10,2014-09-11,1069.0
Florida,2014-12-17,2014-12-20,831.0
Texas,2014-08-30,2014-08-31,1272.0
New York,2014-05-20,2014-05-23,725.0
Missouri,2014-07-23,2014-07-25,1177.0
California,2014-01-22,2014-01-25,733.0
Oklahoma,2014-01-21,2014-01-23,692.0
Iowa,2014-02-02,2014-02-04,1286.0
Indiana,2014-12-16,2014-12-18,562.0
Iowa,2014-09-19,2014-09-21,1089.0
Ohio,2014-06-19,2014-06-22,535.0
Georgia,2014-02-01,2014-02-03,1418.0
Delaware,2014-11-08,2014-11-09,790.0
Alaska,2014-10-29,2014-11-01,690.0
Indiana,2014-06-10,2014-06-10,585.0
Ohio,2014-05-26,2014-05-27,818.0
New York,2014-07-07,2014-07-10,721.0
Mississippi,2014-04-28,2014-04-29,526.0
Missouri,2014-11-09,2014-11-11,1171.0
Florida,2014-06-09,2014-06-10,978.0
Louisiana,2014-08-04,2014-08-06,1444.0
Mississippi,2014-06-20,2014-06-22,640.0
Arkansas,2014-07-16,2014-07-18,1090.0
Illinois,2014-11-24,2014-11-25,1316.0
Alaska,2014-03-24,2014-03-24,708.0
Oregon,2014-04-11,2014-04-12,812.0
Oregon,2014-01-03,2014-01-06,847.0
Mississippi,2014-07-31,2014-08-01,837.0
Oklahoma,2014-03-29,2014-03-31,409.0
Delaware,2014-07-09,2014-07-10,874.0
Texas,2014-09-13,2014-09-14,1147.0
Florida,2014-11-16,2014-11-17,874.0
